Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14514161_1	50.045020044424184	47.0	100.0	100	27.27272727272727	42669514.0
SRR14514161_2	61.78941822512801	47.0	100.0	100	27.27272727272727	42669514.0
SRR14514162_1	20.224784648040156	42.0	100.0	100	18.181818181818183	26814831.0
SRR14514162_2	37.17958960048981	43.0	100.0	100	18.181818181818183	26814831.0
SRR14514163_1	27.998299215353	44.0	100.0	100	9.090909090909092	32645219.0
SRR14514163_2	46.85552724748062	44.0	100.0	100	18.181818181818183	32645219.0
SRR14514164_1	32.107094087109715	45.0	100.0	100	9.090909090909092	24149702.0
SRR14514164_2	46.997969575393675	45.0	100.0	100	18.181818181818183	24149702.0
SRR14514165_1	15.643485131516627	42.0	100.0	100	9.090909090909092	31100709.0
SRR14514165_2	34.524708429946784	42.0	100.0	100	9.090909090909092	31100709.0
SRR14514166_1	15.441576233469888	45.0	100.0	100	9.090909090909092	6003833.0
SRR14514166_2	27.44650693365257	44.0	100.0	100	9.090909090909092	6003833.0
SRR14514167_1	17.986353183148182	42.0	100.0	100	9.090909090909092	33913605.0
SRR14514167_2	35.33315379480716	42.0	100.0	100	9.090909090909092	33913605.0
SRR14514168_1	15.575274147718673	43.0	100.0	100	18.181818181818183	21238012.0
SRR14514168_2	32.35753295493643	44.0	100.0	100	18.181818181818183	21238012.0
SRR14514169_1	13.085520220294129	41.0	100.0	100	18.181818181818183	28184989.0
SRR14514169_2	28.868422983176828	42.0	100.0	100	18.181818181818183	28184989.0
SRR14514170_1	16.572787513657914	42.0	100.0	100	9.090909090909092	46216130.0
SRR14514170_2	35.100680347050755	42.0	100.0	100	9.090909090909092	46216130.0
SRR14514171_1	16.440796915991285	42.0	100.0	100	18.181818181818183	29194077.0
SRR14514171_2	33.9457299669763	42.0	100.0	100	9.090909090909092	29194077.0
