Sample	Unique Reads	Duplicate Reads
SRR14514161_1	21315548.0	21353966.0
SRR14514161_2	16304270.0	26365244.0
SRR14514162_1	21391590.0	5423241.0
SRR14514162_2	16845187.0	9969644.0
SRR14514163_1	23505113.0	9140106.0
SRR14514163_2	17349130.0	15296089.0
SRR14514164_1	16395935.0	7753767.0
SRR14514164_2	12799833.0	11349869.0
SRR14514165_1	26235475.0	4865234.0
SRR14514165_2	20363280.0	10737429.0
SRR14514166_1	5076747.0	927086.0
SRR14514166_2	4355991.0	1647842.0
SRR14514167_1	27813785.0	6099820.0
SRR14514167_2	21930859.0	11982746.0
SRR14514168_1	17930134.0	3307878.0
SRR14514168_2	14365916.0	6872096.0
SRR14514169_1	24496837.0	3688152.0
SRR14514169_2	20048428.0	8136561.0
SRR14514170_1	38556829.0	7659301.0
SRR14514170_2	29993954.0	16222176.0
SRR14514171_1	24394339.0	4799738.0
SRR14514171_2	19283935.0	9910142.0
SRR14514172_1	17814854.0	2978136.0
SRR14514172_2	14555900.0	6237090.0
SRR14514173_1	20622871.0	6180535.0
SRR14514173_2	15497599.0	11305807.0
SRR14514174_1	24827686.0	4842768.0
SRR14514174_2	20322841.0	9347613.0
SRR14514175_1	21782427.0	4851227.0
SRR14514175_2	17393438.0	9240216.0
SRR14514176_1	21463934.0	5678467.0
SRR14514176_2	16631768.0	10510633.0
SRR14514177_1	20494207.0	3734944.0
SRR14514177_2	16616902.0	7612249.0
SRR14514178_1	22858786.0	3778577.0
SRR14514178_2	17025636.0	9611727.0
SRR14514179_1	31017158.0	6214648.0
SRR14514179_2	24534272.0	12697534.0
SRR14514180_1	19638966.0	4399405.0
SRR14514180_2	13703127.0	10335244.0
SRR14514181_1	24512688.0	7956178.0
SRR14514181_2	17825311.0	14643555.0
SRR14514182_1	48254667.0	9889516.0
SRR14514182_2	36428968.0	21715215.0
SRR14514183_1	22440508.0	3487503.0
SRR14514183_2	17248539.0	8679472.0
SRR14514184_1	25980972.0	7317404.0
SRR14514184_2	20089188.0	13209188.0
