Module	Section	Sample Name	Source
Snippy	snippy	multiqc_sources	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514175_trimmed_multiqc_data/multiqc_sources.txt
Snippy	snippy	multiqc	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514175_trimmed_multiqc_data/multiqc.log
FastQC	all_sections	SRR14514164_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514164_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514176_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514176_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514175_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514175_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514161_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514161_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514174_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514174_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514172_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514172_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514168_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514168_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514169_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514169_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514168_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514168_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514171_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514171_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514162_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514162_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514166_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514166_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514172_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514172_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514176_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514176_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514174_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514174_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514177_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514177_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514164_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514164_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514169_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514169_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514175_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514175_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514171_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514171_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514163_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514163_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514162_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514162_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514173_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514173_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514173_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514173_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514163_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514163_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514170_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514170_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514161_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514161_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514166_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514166_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514170_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514170_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514167_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514167_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514167_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514167_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514165_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514165_1.trimmed_fastqc.zip
FastQC	all_sections	SRR14514165_2	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514165_2.trimmed_fastqc.zip
FastQC	all_sections	SRR14514177_1	/home/talhaaygen/Pipeline_data_analysis/QC/trimmed/SRR14514177_1.trimmed_fastqc.zip
