Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR14514161_1	0.32727616000961096	1.540595122120419
SRR14514161_2	0.46049581526712674	4.643125286847616
SRR14514162_1	0.0	0.0
SRR14514162_2	0.3086638191373067	1.3802193362944797
SRR14514163_1	0.0	0.0
SRR14514163_2	0.35207393552646055	1.8565337317327866
SRR14514164_1	0.15314799289854825	0.11424243516837879
SRR14514164_2	0.45969874316912757	3.433966020032692
SRR14514165_1	0.0	0.0
SRR14514165_2	0.13393165306136998	0.0
SRR14514166_1	0.0	0.0
SRR14514166_2	0.15129594958284973	0.6228268806873953
SRR14514167_1	0.0	0.0
SRR14514167_2	0.0	0.0
SRR14514168_1	0.0	0.0
SRR14514168_2	0.1899935459574807	0.22955690196914874
SRR14514169_1	0.0	0.0
SRR14514169_2	0.16434711829383525	0.2548888430225344
SRR14514170_1	0.0	0.0
SRR14514170_2	0.16232021383257067	0.0
SRR14514171_1	0.0	0.0
SRR14514171_2	0.1573613644132875	0.6670999242346058
SRR14514172_1	0.0	0.0
SRR14514172_2	0.13622885887761232	0.24268956005485587
SRR14514173_1	0.0	0.0
SRR14514173_2	0.4093503913525696	1.4476597863005662
SRR14514174_1	0.0	0.0
SRR14514174_2	0.15325345875793497	0.5875923407318221
SRR14514175_1	0.0	0.0
SRR14514175_2	0.21434147966392253	0.8703850165292832
SRR14514176_1	0.0	0.0
SRR14514176_2	0.1989850184084535	0.3471001580551868
SRR14514177_1	0.0	0.0
SRR14514177_2	0.11527331252115007	0.0
SRR14514178_1	0.0	0.0
SRR14514178_2	0.12582383372256356	0.22361291859692456
SRR14514179_1	0.0	0.0
SRR14514179_2	0.1659656904989998	0.5849201963087068
SRR14514180_1	0.0	0.0
SRR14514180_2	0.12726920027708116	0.12290214128256854
SRR14514181_1	0.0	0.0
SRR14514181_2	0.2502325219572872	1.0467723871923502
SRR14514182_1	0.0	0.0
SRR14514182_2	0.1336275411499907	0.34539621823554695
SRR14514183_1	0.0	0.0
SRR14514183_2	0.17929758478824834	0.3314459328821987
SRR14514184_1	0.0	0.0
SRR14514184_2	0.4690778782558054	2.1553920284332535
SRR14514185_1	0.0	0.0
SRR14514185_2	0.0	0.0
SRR14514186_1	0.0	0.0
SRR14514186_2	0.1633867326693412	0.5055746032616821
SRR14514187_1	0.0	0.0
SRR14514187_2	0.0	0.0
SRR14514188_1	0.0	0.0
SRR14514188_2	0.10472856958891957	0.10200997295711772
SRR14514189_1	0.0	0.0
SRR14514189_2	0.17206677542351168	0.6834628010692223
SRR14514190_1	0.0	0.0
SRR14514190_2	0.16663713296927696	0.3619152613767792
SRR14514191_1	0.0	0.0
SRR14514191_2	0.1987457453825225	0.7230610888485667
SRR14514192_1	0.0	0.0
SRR14514192_2	0.16582833476733758	0.7495134233937825
SRR14514193_1	0.0	0.0
SRR14514193_2	0.22579346363823313	0.9691688476274102
SRR14514194_1	0.0	0.0
SRR14514194_2	0.24559199499834156	0.8057123232929764
SRR14514195_1	0.0	0.0
SRR14514195_2	0.21676019892096593	0.4376232791318208
SRR14514196_1	0.0	0.0
SRR14514196_2	0.18485256621230223	0.9496033916146662
SRR14514197_1	0.0	0.0
SRR14514197_2	0.0	0.0
SRR14514198_1	0.0	0.0
SRR14514198_2	0.1943743856708633	0.5756906417812258
SRR14514199_1	0.0	0.0
SRR14514199_2	0.14576321771730372	0.23104069699695162
SRR14514200_1	0.0	0.0
SRR14514200_2	0.2051072017329415	0.5593128081791087
SRR14514201_1	0.0	0.0
SRR14514201_2	0.14348607967223856	0.2137692583634034
SRR14514202_1	0.0	0.0
SRR14514202_2	0.13810945919896347	0.3758707303455693
SRR14514203_1	0.0	0.0
SRR14514203_2	0.1779338511034235	0.43212290446415236
SRR14514204_1	0.10026802631828396	0.0
SRR14514204_2	0.5160278383623514	1.0620578384219121
SRR14514205_1	0.0	0.0
SRR14514205_2	0.5242871968474397	2.4027605455425753
SRR14514206_1	0.1597607307157387	0.22128720263191481
SRR14514206_2	0.49379961887809876	1.3172197786526367
SRR14514207_1	0.0	0.0
SRR14514207_2	0.39068980415266663	1.8891870450746393
SRR14514208_1	0.0	0.0
SRR14514208_2	0.21459540461150722	0.7966940395551401
SRR14514209_1	0.0	0.0
SRR14514209_2	0.21140470012125206	0.34965918188413886
SRR14514210_1	0.0	0.0
