]633;E;echo -e "Sample\\tAlignment_Percent";5d6690f5-2e6d-4f95-8f15-cf2cde68046e]633;CSample	Alignment_Percent
SRR14514161	96.14
SRR14514162	95.91
SRR14514163	96.40
SRR14514164	96.80
SRR14514165	96.23
SRR14514166	96.25
SRR14514167	96.24
SRR14514168	95.55
SRR14514169	95.70
SRR14514170	96.20
SRR14514171	96.65
SRR14514172	96.29
SRR14514173	96.80
SRR14514174	94.99
SRR14514175	96.38
SRR14514176	96.54
SRR14514177	95.93
SRR14514178	96.54
SRR14514179	95.22
SRR14514180	96.69
SRR14514181	96.18
SRR14514182	96.27
SRR14514183	95.94
SRR14514184	95.97
SRR14514185	96.27
SRR14514186	96.35
SRR14514187	96.21
SRR14514188	96.07
SRR14514189	93.19
SRR14514190	96.29
SRR14514191	95.92
SRR14514192	95.72
SRR14514193	95.97
SRR14514194	96.56
SRR14514195	96.87
SRR14514196	95.59
SRR14514197	95.90
SRR14514198	95.71
SRR14514199	96.17
SRR14514200	94.95
SRR14514201	96.72
SRR14514202	96.10
SRR14514203	95.56
SRR14514204	96.03
SRR14514205	95.65
SRR14514206	96.71
SRR14514207	96.11
SRR14514208	96.91
SRR14514209	96.18
SRR14514210	96.28
SRR14514211	96.14
SRR14514212	96.08
SRR14514213	96.47
SRR14514214	96.08
SRR14514215	95.98
SRR14514216	95.93
SRR14514217	95.30
SRR14514218	96.25
SRR14514219	96.31
SRR14514220	96.21
SRR14514221	96.30
SRR14514222	96.41
SRR14514223	96.66
SRR14514224	95.84
SRR14514225	95.92
SRR14514226	95.74
SRR14514227	96.25
SRR14514228	95.84
SRR14514229	95.88
SRR14514230	96.48
SRR14514231	95.97
SRR14514232	96.06
SRR14514233	95.82
SRR14514234	96.46
SRR14514235	96.49
SRR14514236	95.67
SRR14514237	96.16
SRR14514238	96.34
SRR14514239	96.22
SRR14514240	95.66
SRR14514241	95.76
SRR14514242	96.24
SRR14514243	96.26
SRR14514244	96.40
SRR14514245	96.46
SRR14514246	96.62
SRR14514247	96.54
SRR14514248	95.73
SRR14514249	95.85
SRR14514250	95.27
SRR14514251	95.47
SRR14514252	96.69
SRR14514253	96.49
SRR14514254	96.56
SRR14514255	96.35
SRR14514256	96.23
SRR14514257	96.19
SRR14514258	96.12
SRR14514259	96.27
SRR14514260	96.52
SRR14514261	96.20
SRR14514262	96.46
SRR14514263	96.34
SRR14514264	96.44
SRR14514265	96.34
SRR14514266	95.99
SRR14514267	95.74
SRR14514268	96.38
SRR14514269	96.34
SRR14514270	96.44
SRR14514271	96.60
SRR14514272	96.64
SRR14514273	93.79
SRR14514274	96.06
SRR14514275	95.93
SRR14514276	94.48
SRR14514277	96.50
SRR14514278	95.55
SRR14514279	96.64
SRR14514280	95.81
SRR14514281	95.52
SRR14514282	95.18
SRR14514283	95.54
SRR14514284	95.88
SRR14514285	96.32
SRR14514286	96.29
SRR14514287	96.19
SRR14514288	96.14
SRR14514289	96.61
SRR14514290	95.94
SRR14514291	96.32
SRR14514292	96.32
SRR14514293	95.80
SRR14514294	96.11
SRR14514295	96.19
SRR14514296	96.73
SRR14514297	96.78
SRR14514298	95.61
SRR14514299	96.49
SRR14514300	96.24
SRR14514301	96.04
SRR14514302	96.72
SRR14514303	96.83
SRR14514304	96.00
SRR14514305	96.17
SRR14514306	95.84
SRR14514307	96.56
SRR14514308	95.81
SRR14514309	94.87
SRR14514310	96.14
SRR14514311	96.19
SRR14514312	96.36
SRR14514313	97.28
SRR14514314	96.48
SRR14514315	96.18
SRR14514316	95.63
SRR14514317	96.35
SRR14514318	96.20
SRR14514319	95.87
SRR14514320	96.11
SRR14514321	96.23
SRR14514322	96.48
SRR14514323	95.78
SRR14514324	95.58
SRR14514325	95.36
SRR14514326	95.91
SRR14514327	95.30
SRR14514328	96.28
SRR14514329	95.81
SRR14514330	96.77
SRR14514331	96.61
SRR14514332	96.12
SRR14514333	96.47
SRR14514334	96.29
SRR14514335	96.12
SRR14514336	95.68
SRR14514337	96.56
SRR14514338	96.43
SRR14514339	96.00
SRR14514340	96.98
SRR14514341	95.41
SRR14514342	95.37
SRR14514343	96.29
SRR14514344	96.07
SRR14514345	94.99
SRR14514346	97.13
SRR14514347	96.76
SRR14514348	96.38
SRR14514349	96.46
SRR14514350	96.57
SRR14514351	97.16
