sample	assigned_reads	total_reads	assigned_percent	status
SRR14514240	5111632	19992909	25.5672	remove
SRR14514169	7572972	26821888	28.2343	remove
SRR14514341	6796591	23990027	28.3309	remove
SRR14514186	5725268	20124033	28.4499	remove
SRR14514216	8009700	27885683	28.7233	remove
SRR14514197	6861511	23749225	28.8915	remove
SRR14514214	5958340	20321089	29.321	remove
SRR14514199	6564623	22261446	29.4888	remove
SRR14514200	8944346	29929227	29.885	remove
SRR14514244	6456665	21214316	30.4354	remove
SRR14514198	5196784	17006356	30.5579	remove
SRR14514203	12160658	39636640	30.6803	remove
SRR14514202	7372857	24018630	30.6964	remove
SRR14514246	7834790	25212465	31.0751	remove
SRR14514187	5508646	17694354	31.1322	remove
SRR14514348	8133504	26080825	31.1858	remove
SRR14514178	8048613	25561135	31.4877	remove
SRR14514291	8618694	27246927	31.6318	remove
SRR14514174	8869526	28019596	31.6547	remove
SRR14514181	10055494	31340051	32.0851	remove
SRR14514183	8050304	25039378	32.1506	remove
SRR14514225	8544816	26523031	32.2166	remove
SRR14514258	12879588	39952011	32.2376	remove
SRR14514185	7030337	21802597	32.2454	remove
SRR14514219	7278765	22505787	32.3417	remove
SRR14514338	9348331	28813183	32.4446	remove
SRR14514257	7720662	23755477	32.5006	remove
SRR14514210	8155644	25035828	32.5759	remove
SRR14514242	10325566	31658756	32.6152	remove
SRR14514236	9360723	28621023	32.7058	remove
SRR14514231	12388809	37832496	32.7465	remove
SRR14514179	11803271	35801978	32.9682	remove
SRR14514195	6995255	21082745	33.18	remove
SRR14514188	7442146	22364480	33.2766	remove
SRR14514182	18691806	55979478	33.3905	remove
SRR14514170	14918495	44341982	33.6442	remove
SRR14514172	6764828	19981082	33.8562	remove
SRR14514175	8740967	25547085	34.2151	remove
SRR14514241	8175560	23865060	34.2574	remove
SRR14514220	8023274	23285093	34.4567	remove
SRR14514177	7861333	22671336	34.6752	remove
SRR14514180	7984209	22898706	34.8675	remove
SRR14514253	10462967	29938680	34.948	remove
SRR14514196	2399746	6815161	35.2119	keep
SRR14514243	9837840	27725680	35.4828	keep
SRR14514265	10928122	30752824	35.5353	keep
SRR14514191	10992131	30763929	35.7306	keep
SRR14514211	8209722	22971269	35.7391	keep
SRR14514254	10414589	29103206	35.785	keep
SRR14514250	9643584	26889581	35.8636	keep
SRR14514221	8426253	23478091	35.8899	keep
SRR14514167	11711122	32591791	35.9327	keep
SRR14514239	13772368	37968370	36.2733	keep
SRR14514171	10221649	28041826	36.4514	keep
SRR14514260	10122932	27770259	36.4524	keep
SRR14514227	9644111	26422231	36.5	keep
SRR14514259	14858231	40578439	36.6161	keep
SRR14514161	14563364	39554974	36.818	keep
SRR14514268	10359202	28021865	36.9683	keep
SRR14514339	8550824	23111600	36.998	keep
SRR14514309	7153500	19265233	37.1317	keep
SRR14514277	9274968	24906459	37.2392	keep
SRR14514192	15858378	42545202	37.2742	keep
SRR14514228	10976599	29383045	37.3569	keep
SRR14514215	15598024	41718865	37.3884	keep
SRR14514229	19815220	52808150	37.523	keep
SRR14514190	7399803	19678087	37.6043	keep
SRR14514168	7499742	19902255	37.6829	keep
SRR14514201	10427656	27639615	37.7272	keep
SRR14514223	10497192	27752485	37.8243	keep
SRR14514237	9831572	25864893	38.0113	keep
SRR14514233	12537355	32660461	38.387	keep
SRR14514166	2215827	5752963	38.5163	keep
SRR14514165	11407615	29596439	38.5439	keep
SRR14514264	9132738	23666435	38.5894	keep
SRR14514162	9795208	25348290	38.6425	keep
SRR14514234	14754442	38146277	38.6786	keep
SRR14514209	12249411	31630801	38.7262	keep
SRR14514189	11402758	29390334	38.7976	keep
SRR14514275	4818164	12382297	38.9117	keep
SRR14514204	10035808	25688149	39.0679	keep
SRR14514248	12591125	31976570	39.3761	keep
SRR14514344	9321885	23580256	39.5326	keep
SRR14514218	13109259	33013115	39.7092	keep
SRR14514176	10370752	26076335	39.7707	keep
SRR14514193	13087671	32896435	39.7845	keep
SRR14514286	9214738	23095569	39.8983	keep
SRR14514263	13200724	33075384	39.911	keep
SRR14514212	15186615	37800643	40.1755	keep
SRR14514238	12016194	29879173	40.216	keep
SRR14514318	8298488	20612512	40.2595	keep
SRR14514226	13392717	33163662	40.3837	keep
SRR14514213	7318895	18087641	40.4635	keep
SRR14514334	11779676	29081196	40.5062	keep
SRR14514205	15598456	38437330	40.5815	keep
SRR14514245	8794414	21231245	41.422	keep
SRR14514284	7080865	17092670	41.4263	keep
SRR14514300	7967492	18939092	42.069	keep
SRR14514301	12034367	28513877	42.2053	keep
SRR14514316	18717348	44327650	42.225	keep
SRR14514321	9690902	22909347	42.3011	keep
SRR14514207	15812030	37378247	42.3028	keep
SRR14514304	10703522	25209864	42.4577	keep
