"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003.16",100.918045551315,3.08464286554156e-06,0.00144259552884785,0.718233271952454,0.999966127004508
"ENSG00000000005.6",1.25345286700957,-1.09633659525811e-06,0.0014426922507033,0.678741875078259,0.999966127004508
"ENSG00000000419.14",259.631378890149,1.49146505635786e-05,0.00144237216651551,0.357079686667845,0.999966127004508
"ENSG00000000457.14",109.259321159328,-1.03717250159186e-05,0.00144253620218429,0.35803148449065,0.999966127004508
"ENSG00000000460.17",82.967616597584,2.79148065701346e-06,0.00144258085532895,0.759434279370603,0.999966127004508
"ENSG00000000938.13",27.2432716258494,-5.59996382118196e-06,0.00144266839079274,0.23997062123593,0.999966127004508
"ENSG00000000971.17",87.3798979034368,-5.69074412813145e-06,0.001442679159642,0.143894669734011,0.999966127004508
"ENSG00000001036.14",61.0298223797698,4.56608186144963e-06,0.00144246412151033,0.72620158230583,0.999966127004508
"ENSG00000001084.13",324.670065531049,-9.00184436767534e-06,0.00144248818229602,0.476343050109502,0.999966127004508
"ENSG00000001167.15",698.971264024935,1.95555800555465e-05,0.00144236734162696,0.245577719446712,0.999966127004508
"ENSG00000001460.18",167.231369609863,2.76905874696665e-06,0.00144241756747301,0.845272820417718,0.999966127004508
"ENSG00000001461.17",1807.71787555867,-5.87487292503321e-07,0.00144254144515824,0.954354526778509,0.999966127004508
"ENSG00000001497.18",594.784542199718,4.26964791749868e-06,0.00144251541323257,0.709278336890072,0.999966127004508
"ENSG00000001561.7",530.270573974102,4.91557010463884e-06,0.00144253002877039,0.657660946887859,0.999966127004508
"ENSG00000001617.12",54.6935568512421,-4.37667393020398e-06,0.0014426696569318,0.331325508933118,0.999966127004508
"ENSG00000001626.18",41.4212192790955,2.97168482604918e-06,0.00144265552939768,0.586395893122225,0.999966127004508
"ENSG00000001629.10",1311.06522635304,-9.21606079405959e-07,0.00144239153457102,0.94982620982295,0.999966127004508
"ENSG00000001630.18",37.3115793060701,4.38316034084275e-06,0.00144259406967244,0.611254992871217,0.999966127004508
"ENSG00000001631.17",470.328976962275,3.3407144298287e-06,0.00144249967472445,0.780187381192391,0.999966127004508
"ENSG00000002016.18",158.939937511942,5.76669875783412e-06,0.0014425861629373,0.526535500245515,0.999966127004508
"ENSG00000002079.15",4.4365992961567,-1.89871757366619e-06,0.00144268050799566,0.559597765414968,0.999966127004508
"ENSG00000002330.14",88.1982384443852,-1.52437438581372e-05,0.0014426082797748,0.110598843318128,0.999966127004508
"ENSG00000002549.13",203.9763161843,-1.7805617483738e-05,0.00144267297721738,0.0162817330788229,0.999966127004508
"ENSG00000002586.20",117.0479985949,-6.51336798589506e-06,0.00144266993666312,0.176155756735735,0.999966127004508
"ENSG00000002587.10",314.628418730214,5.85969919345092e-06,0.00144266011815498,0.281424404729124,0.999966127004508
"ENSG00000002726.21",0.516112505398228,-1.11598812564509e-06,0.001442693311861,0.558228243465202,0.999966127004508
"ENSG00000002745.13",13.2890504541722,1.30946672249712e-06,0.00144267375886299,0.740086140958935,0.999966127004508
"ENSG00000002746.15",1139.66878653497,4.28722670610423e-06,0.0014426034633227,0.603794768017104,0.999966127004508
"ENSG00000002822.16",23.935920705524,1.21003171071959e-05,0.00144267696186441,0.0301255074079136,0.999966127004508
"ENSG00000002834.19",615.691506542944,-2.06514034451562e-06,0.00144245703851665,0.87433349966174,0.999966127004508
"ENSG00000002919.15",57.7222539718126,3.78227364537198e-07,0.00144256245587371,0.969365175505332,0.999966127004508
"ENSG00000002933.9",21.4534116339884,-7.46268672728556e-06,0.00144267582638386,0.100691202906454,0.999966127004508
"ENSG00000003056.8",355.505706757195,-1.93128855598631e-05,0.00144255968045439,0.1089621818716,0.999966127004508
"ENSG00000003096.15",62.3761577184995,-1.60282686998071e-05,0.00144262610984821,0.0771793157342072,0.999966127004508
"ENSG00000003137.9",214.55963565081,-7.6129809066177e-06,0.00144265808654825,0.188668096685483,0.999966127004508
"ENSG00000003147.19",431.203515003568,-9.20911190221587e-06,0.00144262700949442,0.231810539448045,0.999966127004508
"ENSG00000003249.15",271.390675437923,-8.95308161152539e-08,0.0014425626043781,0.992247785708082,0.999966127004508
"ENSG00000003393.16",2690.31523073946,-1.97704779320471e-06,0.00144253120440812,0.855112795039075,0.999966127004508
"ENSG00000003400.16",36.6458772182791,-7.54689267928698e-06,0.00144265484281334,0.208449738137909,0.999966127004508
"ENSG00000003402.21",1515.50934062148,-1.04973930210234e-05,0.00144254333696441,0.342632477967955,0.999966127004508
"ENSG00000003436.16",74.0311801885642,-6.74643000135103e-06,0.00144265924826526,0.233828418519129,0.999966127004508
"ENSG00000003509.16",298.115611699163,6.08045707483723e-06,0.00144234095871002,0.707079795730164,0.999966127004508
"ENSG00000003756.17",1038.03344635178,1.74142565162406e-06,0.00144233083144778,0.914881540467321,0.999966127004508
"ENSG00000003987.14",524.687781202229,3.85467652162966e-06,0.00144252808476116,0.727854414184506,0.999966127004508
"ENSG00000003989.18",534.382667931468,2.18080040884912e-06,0.0014426606555149,0.667604399723579,0.999966127004508
"ENSG00000004059.11",105.200306188273,-1.04172827630042e-05,0.00144261756248531,0.212676830740026,0.999966127004508
"ENSG00000004139.14",243.691005825858,6.11339032195872e-06,0.00144244314455219,0.653904815778322,0.999966127004508
"ENSG00000004142.12",222.332226894208,-2.31803848389891e-05,0.0014425610841945,0.0694832198942146,0.999966127004508
"ENSG00000004399.13",477.134932654725,-9.13432141636281e-06,0.00144263910373667,0.198908819890669,0.999966127004508
"ENSG00000004455.18",391.645294835968,-8.70015889178957e-06,0.00144246778364161,0.508414154569783,0.999966127004508
"ENSG00000004468.13",58.0053655229114,-4.21891044027351e-06,0.00144266670334583,0.377339800315806,0.999966127004508
"ENSG00000004478.8",1619.82581431014,-1.32865215836534e-06,0.00144265443274288,0.805287742451891,0.999966127004508
"ENSG00000004487.18",935.630718006515,6.63168512951076e-06,0.00144220262065691,0.727477111597635,0.999966127004508
"ENSG00000004534.15",1377.67871318018,1.43180402880828e-05,0.00144259345208955,0.147565136441336,0.999966127004508
"ENSG00000004660.15",873.362296928338,-7.52515538481232e-07,0.00144261785710108,0.918593513676283,0.999966127004508
"ENSG00000004700.16",133.080816229993,-9.88621215573658e-06,0.0014424103818422,0.503932981822178,0.999966127004508
"ENSG00000004766.17",563.200640113897,1.00158752302399e-06,0.00144248109905678,0.936211094831761,0.999966127004508
"ENSG00000004776.13",20.7059526473791,6.10388718057644e-06,0.00144266239635289,0.254889964895496,0.999966127004508
"ENSG00000004777.19",180.070978448668,5.18240766925895e-06,0.00144249316278972,0.670687215971003,0.999966127004508
"ENSG00000004779.10",148.731434865714,-1.05512452410976e-05,0.00144260802376149,0.227217854822992,0.999966127004508
"ENSG00000004799.8",1177.6691248707,1.62849050628012e-06,0.00144265591222713,0.761535357585544,0.999966127004508
"ENSG00000004809.14",1.78934830568403,9.79561961669392e-07,0.00144269069844683,0.566383214097126,0.999966127004508
"ENSG00000004838.14",8.28410514973758,1.33152786776733e-05,0.00144269153741676,0.00769272558741292,0.999966127004508
"ENSG00000004846.17",1.22828216968989,4.30563328545587e-07,0.00144269241551097,0.724392311530794,0.999966127004508
"ENSG00000004848.8",83.9388039335949,3.52712398167331e-06,0.00144268621744729,0.221465754104993,0.999966127004508
"ENSG00000004864.14",164.591593753689,-5.25713530804558e-06,0.00144261505737673,0.499284597105492,0.999966127004508
"ENSG00000004866.22",313.90325850098,2.36599083512787e-06,0.00144250840398318,0.839552636837352,0.999966127004508
"ENSG00000004897.12",871.701907907908,5.97652478383346e-06,0.00144244801319722,0.659470608704537,0.999966127004508
"ENSG00000004939.16",7.93087972492035,-2.2385928143619e-06,0.0014426854708479,0.413272398745809,0.999966127004508
"ENSG00000004948.16",0.893621767523865,-3.77928012229741e-07,0.00144269254500552,0.985604703477611,0.999966127004508
"ENSG00000004961.15",101.508370805653,-6.93637139192131e-07,0.00144258138128847,0.938765724078023,0.999966127004508
"ENSG00000004975.12",169.95877224482,2.13411057197762e-05,0.00144260593408035,0.0527598250693083,0.999966127004508
"ENSG00000005001.10",2.47721844346888,-4.5515633794126e-06,0.00144268672299948,0.0948118061471703,0.999966127004508
"ENSG00000005007.14",1016.53653358757,-5.57841199287593e-06,0.00144245562935883,0.673917785261329,0.999966127004508
"ENSG00000005020.13",389.087391658152,-4.7572260572688e-06,0.00144257674195122,0.612899265638619,0.999966127004508
"ENSG00000005022.6",200.859148661036,-7.87423896290995e-06,0.00144260892554592,0.344994098183035,0.999966127004508
"ENSG00000005059.16",39.7941729946847,8.66516713651016e-06,0.00144266874139036,0.104451059777327,0.999966127004508
"ENSG00000005075.16",116.975349732399,3.29544421400648e-06,0.0014426462169641,0.584056074297038,0.999966127004508
"ENSG00000005100.13",193.431466285986,-1.98151355934239e-05,0.0014423548667659,0.248364141992443,0.999966127004508
"ENSG00000005102.14",3.72922160209357,-9.41860218947373e-07,0.00144268303487461,0.748285818513949,0.999966127004508
