"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0099003","vesicle-mediated transport in synapse",217,-0.596420253383285,-2.91913054729364,1e-10,5.31949152542373e-09,3.87957181088314e-09,6576,"tags=61%, list=21%, signal=48%","8943/9066/8573/57465/8448/84162/9581/9296/5865/22848/1785/1000/274/6456/9892/1020/161/143425/8499/246213/9550/5582/71/8927/5071/23025/9783/5579/8674/6616/6812/5028/10947/23557/6854/10814/79953/6620/5532/84446/537/112476/29993/529/84961/1759/112755/4218/26059/1948/9900/23396/523/6853/26052/55697/51382/84896/6855/5864/5874/488/8775/382/22930/6623/6622/6857/154664/528/51606/534/6804/63908/164/160/26258/3092/127262/9114/200933/9498/22987/5898/50632/163/6861/57555/2332/54413/8867/115548/526/5575/5534/821/1173/55737/84062/22883/10675/1861/5868/10815/9829/27253/8871/5217/10239/9899/10159/5663/23208/396/57617/1902/11069/5337/1182/6457/5908/80331/525/5906/535/8301/3208/22895/6844/57030/2060/1176"
"GO:0006119","oxidative phosphorylation",145,-0.62854942941041,-2.91518004191068,1e-10,5.31949152542373e-09,3.87957181088314e-09,6288,"tags=67%, list=20%, signal=54%","4541/983/65990/51142/4711/4726/84701/521/10476/84300/4710/637/55967/4725/539/790955/10632/30968/4696/4508/4715/4720/4718/4514/7385/4509/4716/387/4724/1349/400916/9377/29796/4537/1350/513/84277/79085/509/4697/65084/4728/4722/84275/7384/1329/4538/7415/4535/515/4702/6622/1347/374291/388753/4723/65018/4717/6390/205327/11315/4706/4700/2395/4539/10975/4519/4695/498/1345/1327/4540/126328/506/4708/4694/1340/1337/4719/6391/10105/54205/9167/4513/27089/51103/4536/7386/522/1738/6392/27069/4707/107075310/4698/514/1351"
"GO:0009060","aerobic respiration",193,-0.604425898578261,-2.8932546332701,1e-10,5.31949152542373e-09,3.87957181088314e-09,6363,"tags=62%, list=20%, signal=49%","1431/4541/983/65990/51142/4711/1743/4726/84701/521/7349/10476/84300/4710/637/55967/23530/402/4725/539/790955/847/10632/30968/4696/4508/4715/4720/56181/4718/4514/7385/4509/4716/387/4724/1349/400916/9377/29796/2647/4537/1350/513/84277/3420/79085/509/3421/4697/65084/4693/4728/4722/84275/7384/1329/4538/7415/4535/4967/515/4702/6622/1347/374291/388753/5160/4190/4723/47/8802/8803/65018/4717/6390/205327/11315/4706/4700/2395/4539/10975/4519/4695/498/1345/1327/4540/126328/506/4708/4694/1340/1337/4719/6391/10105/54205/9167/4513/664/27089/51103/4536/7386/522/1738/3419/6392/27069/4191/4707/107075310/1737/4698/5162/514/1351"
"GO:0042773","ATP synthesis coupled electron transport",100,-0.657793762310399,-2.87956988540633,1e-10,5.31949152542373e-09,3.87957181088314e-09,6288,"tags=70%, list=20%, signal=56%","4541/983/51142/4711/4726/84701/4710/637/55967/4725/790955/4696/4715/4720/4718/4514/7385/4716/4724/1349/9377/29796/4537/1350/4697/4728/4722/7384/1329/4538/4535/4702/6622/1347/374291/388753/4723/65018/4717/6390/11315/4706/4700/4539/10975/4519/4695/1345/1327/4540/4708/4694/1340/1337/4719/6391/54205/9167/4513/27089/51103/4536/7386/1738/6392/27069/4707/107075310/4698/1351"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",100,-0.657793762310399,-2.87956988540633,1e-10,5.31949152542373e-09,3.87957181088314e-09,6288,"tags=70%, list=20%, signal=56%","4541/983/51142/4711/4726/84701/4710/637/55967/4725/790955/4696/4715/4720/4718/4514/7385/4716/4724/1349/9377/29796/4537/1350/4697/4728/4722/7384/1329/4538/4535/4702/6622/1347/374291/388753/4723/65018/4717/6390/11315/4706/4700/4539/10975/4519/4695/1345/1327/4540/4708/4694/1340/1337/4719/6391/54205/9167/4513/27089/51103/4536/7386/1738/6392/27069/4707/107075310/4698/1351"
"GO:0099504","synaptic vesicle cycle",195,-0.596549376152467,-2.87107223097835,1e-10,5.31949152542373e-09,3.87957181088314e-09,6576,"tags=61%, list=21%, signal=48%","8943/9066/8573/57465/8448/84162/9581/9296/5865/1785/1000/274/6456/9892/1020/143425/8499/246213/9550/5582/71/8927/5071/23025/9783/5579/8674/6616/6812/5028/10947/23557/6854/10814/79953/6620/5532/84446/537/112476/29993/529/84961/1759/112755/26059/9900/23396/523/6853/26052/51382/6855/5864/5874/488/8775/382/22930/6623/6622/6857/154664/528/51606/534/6804/63908/164/26258/127262/9114/200933/9498/22987/163/6861/57555/2332/54413/8867/115548/526/5575/5534/821/1173/84062/10675/1861/5868/10815/9829/27253/8871/5217/10239/9899/10159/5663/23208/396/57617/1902/11069/5337/1182/6457/5908/80331/525/5906/535/8301/22895/6844/57030/1176"
"GO:0006754","ATP biosynthetic process",100,-0.654551694494419,-2.86537735062681,1e-10,5.31949152542373e-09,3.87957181088314e-09,6288,"tags=70%, list=20%, signal=56%","4541/65990/56848/4711/4726/521/10476/4710/55967/4725/539/790955/10632/30968/518/4696/55022/4508/4715/4720/4718/4509/4716/4724/4537/513/84277/509/523/4728/4722/527/4538/7415/4535/515/4702/374291/142/4723/65018/4717/6390/226/4706/318/4700/4539/4695/498/4540/126328/506/4708/4694/7114/516/4719/6391/2023/4536/522/84833/6392/3988/4707/9556/4698/514/283120"
"GO:0019646","aerobic electron transport chain",92,-0.656193783920779,-2.84720962618152,1e-10,5.31949152542373e-09,3.87957181088314e-09,4953,"tags=64%, list=16%, signal=54%","4725/790955/4696/4715/4720/4718/4514/7385/4716/4724/1349/9377/29796/4537/1350/4697/4728/4722/7384/1329/4538/4535/4702/6622/1347/374291/4723/65018/4717/6390/11315/4706/4700/4539/10975/4519/4695/1345/1327/4540/4708/4694/1340/1337/4719/6391/54205/9167/4513/27089/51103/4536/7386/1738/6392/4707/107075310/4698/1351"
"GO:0015986","proton motive force-driven ATP synthesis",75,-0.678030198289426,-2.8233586190429,1e-10,5.31949152542373e-09,3.87957181088314e-09,6288,"tags=77%, list=20%, signal=62%","4541/65990/4711/4726/521/10476/4710/55967/4725/539/10632/30968/518/4696/4508/4715/4720/4718/4509/4716/4724/4537/513/84277/509/523/4728/4722/527/4538/4535/515/4702/374291/4723/4717/6390/4706/4700/4539/4695/498/4540/126328/506/4708/4694/516/4719/6391/4536/522/84833/6392/4707/9556/4698/514"
"GO:0045333","cellular respiration",238,-0.567913737730558,-2.81007829162197,1e-10,5.31949152542373e-09,3.87957181088314e-09,6363,"tags=57%, list=20%, signal=45%","1431/4541/983/65990/51142/4711/1743/4726/84269/84701/521/7349/10476/84300/4710/637/55967/23530/402/4725/539/790955/847/10632/30968/4696/4508/4715/4720/56181/4718/4514/144363/23369/7385/4509/4716/387/4724/1349/400916/9377/29796/2647/4537/1350/513/84277/3420/79085/509/3421/4697/90624/65084/4693/55847/4728/4722/84275/7384/1329/2109/4538/7415/4535/4967/515/4702/6622/1347/374291/388753/3454/5160/4190/4723/47/8802/2108/8803/65018/4717/6390/79751/205327/11315/2629/4706/80219/4700/2395/4539/10975/4519/4695/498/1345/1327/4540/126328/506/4708/4694/1340/1337/27166/4719/6391/10105/2819/54205/9167/4513/664/27089/51103/4536/7386/522/1738/10131/3419/6392/27069/23596/4191/4707/107075310/1737/4698/205251/5162/514/1351"
