"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05012","Parkinson disease",265,-0.592880202229751,-2.94243039219732,1e-10,2.13214040012672e-09,1.04566694264588e-09,6529,"tags=60%, list=21%, signal=48%","7381/5692/11047/10213/201266/4541/5700/815/4711/468/64116/5704/4726/84701/9817/10476/7280/51465/4710/7922/55967/7311/5602/291/4725/5687/539/203068/5691/147700/5695/5071/29986/518/4696/4508/4715/7419/7314/9246/4720/4718/4514/7345/7385/4509/5686/4716/2778/4724/1349/22926/7277/9377/29796/4537/1350/513/509/4697/5599/7417/64837/818/55334/4728/4722/25800/5713/7384/1329/10383/4538/4535/515/4702/6622/1347/4137/374291/4723/5708/292/65018/4717/5701/79861/5714/6390/11315/4706/4700/25828/5567/4539/1965/10975/4519/4695/498/5702/10376/805/1345/1327/5718/4540/126328/5719/506/4708/4891/4694/29985/1340/5705/516/1337/4719/5689/6647/10382/5707/6391/5693/10105/7317/7416/9927/7295/54205/5688/9167/4513/5566/57181/27089/7846/4536/808/7386/522/7326/10131/5710/2861/5601/5717/6392/4707/4698/5706/7332/514/1351/84790/598/5690/5694/2770"
"hsa00190","Oxidative phosphorylation",134,-0.644351419976363,-2.89774066662636,1e-10,2.13214040012672e-09,1.04566694264588e-09,6124,"tags=70%, list=20%, signal=57%","4711/9296/4726/84701/521/10476/4710/55967/4725/9550/539/10063/10632/518/4696/27068/4508/4715/4720/4718/4514/7385/4509/4716/4724/537/1349/9377/29796/529/4537/1350/513/509/523/4697/51382/4728/4722/527/7384/1329/4538/4535/515/4702/5464/1347/528/374291/51606/534/4723/4717/9114/6390/64077/4706/4700/4539/10975/4519/526/4695/498/1345/533/1327/4540/126328/506/4708/4694/1340/516/1337/4719/6391/54205/9167/4513/27089/4536/7386/522/6392/155066/4707/525/4698/479/514/1351/535"
"hsa05016","Huntington disease",305,-0.552373790818127,-2.77956330302865,1e-10,2.13214040012672e-09,1.04566694264588e-09,6981,"tags=61%, list=22%, signal=48%","3064/112714/84516/56171/9519/201625/493869/7381/5692/5289/11047/10213/4541/5700/7350/5435/4711/23186/29982/5704/4726/7052/60673/84701/10476/7280/4710/161/55967/10671/5602/291/2892/4725/5687/25942/539/203068/5691/147700/55102/5695/2475/2876/518/3066/4696/83544/9706/4508/4715/7419/4720/4718/4514/5431/1211/6875/7385/4509/5686/64764/4716/387332/4724/1349/7277/9377/29796/4537/1350/513/509/23130/4697/5599/7417/8632/11258/64837/1639/2904/4728/4722/5713/7384/6908/1329/10383/4538/4535/515/4702/5438/1347/5430/374291/51164/6804/4723/5708/160/292/3092/627/4717/55081/5701/79861/10488/5714/6390/7019/4706/163/4700/90993/4539/10121/10975/4519/3766/9776/4695/498/5702/10376/23236/1345/1327/5718/4540/126328/5719/506/4708/4694/1340/5705/516/1213/1337/4719/1173/9586/5689/6647/10382/5707/6391/10540/5693/8678/10105/2776/7416/54205/5688/9167/4513/2878/27089/7846/4536/7386/522/5710/5601/5717/6392/5434/4707/4698/5706/55860/514/1351/9821/10126/5440/84790/5432/5690/5694/5433"
"hsa03010","Ribosome",205,-0.566783879242047,-2.70860755431965,1e-10,2.13214040012672e-09,1.04566694264588e-09,9446,"tags=65%, list=30%, signal=46%","6222/6132/6170/100529239/6154/6164/51116/6210/29093/100169757/64976/200916/6209/6205/92259/6136/6150/6165/63931/100169754/100169763/100169767/6232/6139/6203/6233/6146/6192/100169764/6152/64960/55173/6201/55052/4736/100169756/100169760/6138/100169762/6231/29074/6234/6175/6208/56945/6156/116541/6161/23107/6128/6159/6224/6187/6229/6160/100169753/7311/65008/64975/6189/6228/6193/51187/6155/6166/51650/9349/10884/26589/100169761/64965/6176/6206/63875/388524/54534/51121/7818/54460/100169759/124905422/124905424/124905425/124905426/124905427/124905428/124905429/124905430/124905431/124905432/124905433/124905434/124905435/124905436/124905437/124905438/29088/64983/84311/55168/6169/9553/60488/6207/6135/219927/51642/84545/740/128308/28973/6158/79590/64981/51021/11224/11222/6191/65003/124995/65005/64979/6171/51258/57129/28977/51373/10573/3921/51649/51263/51081/51318/9801"
"hsa05020","Prion disease",271,-0.53732609870619,-2.66920807943692,1e-10,2.13214040012672e-09,1.04566694264588e-09,5383,"tags=51%, list=17%, signal=43%","7280/4710/653361/55967/5602/291/4725/5687/539/203068/5691/147700/5695/5530/1958/518/4696/4508/4715/7419/283106/4720/4718/4514/712/7385/4509/5686/64764/5532/4716/4724/1349/7277/5580/9377/29796/5594/3312/4537/1350/513/2903/1457/5595/509/4697/5599/7417/64837/2904/5621/4728/4722/5880/5713/7384/1329/10383/4538/4535/515/4702/1347/5296/374291/4723/5708/292/4717/5701/79861/10488/5714/6390/4706/4700/5567/90993/4539/1965/10975/4519/4695/498/5702/10376/1345/1327/5718/4540/126328/5719/506/4708/4694/1340/5705/516/1337/5534/4719/9586/5689/6647/10382/5707/6391/5693/10105/7416/2932/54205/5688/9167/4513/5566/27089/7846/4536/7386/522/5291/4685/5710/5601/5717/6392/5295/4707/4684/4698/5706/514/1351/5879/84790/5690/5694"
"hsa05010","Alzheimer disease",382,-0.503965925315893,-2.60336360155242,1e-10,2.13214040012672e-09,1.04566694264588e-09,6529,"tags=53%, list=21%, signal=42%","7381/5692/5289/11047/1454/10213/201266/4541/5700/4711/468/64116/1857/207/29982/5704/8322/4726/60673/84701/3265/324/10476/1131/7280/4710/637/1020/7922/55967/5602/83464/291/4725/5687/539/203068/5691/147700/55102/5743/5695/5530/1128/823/5481/2475/29986/518/5604/4696/9706/4023/4508/4715/7419/283106/4720/4718/4514/7385/4509/5686/5532/4716/2597/4724/2535/1349/22926/7277/9377/29796/5594/27123/4537/1350/513/7480/2903/1457/5595/509/23130/4697/5599/7417/64837/2904/3845/55334/4728/4722/25800/5713/7384/488/1329/10383/23385/4538/4535/515/4702/6622/1347/4137/5296/51384/374291/4723/5708/292/1147/4717/5701/79861/5714/3643/6390/4706/5610/4700/4539/1965/10975/4519/10313/9776/4695/498/5702/10376/805/23236/1345/1327/5718/4540/126328/351/5719/506/4708/4891/4694/29985/1340/5705/516/1337/5534/4719/5689/10382/5707/6391/5693/8678/10105/2776/7416/2932/54205/5688/9167/4513/57181/27089/7846/4536/808/7386/522/322/5291/55851/5710/51107/5601/5663/5717/6392/50507/1133/5295/4040/4707/4698/5706/80326/23621/514/1351/57142/9821/10000/84790/4893/5690/5694"
"hsa05415","Diabetic cardiomyopathy",201,-0.54408032922337,-2.59755869278344,1e-10,2.13214040012672e-09,1.04566694264588e-09,6131,"tags=57%, list=20%, signal=46%","815/4711/207/4726/7043/84701/6513/10476/4710/653361/55967/5602/291/4725/5582/539/2475/518/5579/4696/4508/4715/7419/4720/4718/4514/5500/7385/4509/4716/2597/4724/1349/5580/9377/29796/4537/1350/513/509/4697/5599/7417/818/5590/4728/4722/1509/5880/7384/488/25874/1329/4538/4535/515/4702/1347/5296/374291/948/51660/142/5160/4723/292/4717/3643/6390/4706/4700/2673/4539/10975/4519/4695/498/23236/1345/1327/4540/126328/506/2936/4708/4694/1340/5165/516/1337/4719/6391/10105/7416/2932/9167/4513/27089/4536/7386/522/5291/5601/6392/5499/5295/5524/4707/4698/5162/514/1351/5879/10000"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",222,-0.527255119082418,-2.56434709184837,1e-10,2.13214040012672e-09,1.04566694264588e-09,5824,"tags=53%, list=19%, signal=44%","4726/7422/84701/9817/3265/10476/4710/653361/4025/55967/5602/291/4725/539/10327/847/518/253152/5604/4696/2949/4508/4715/7419/4720/4718/4514/5770/2885/7385/4509/4716/4724/1349/5580/9377/29796/5594/4537/1350/513/5795/5595/509/4697/5599/7417/3845/196/4728/4722/7384/1329/4538/4535/515/4702/6416/1347/5296/374291/1728/4723/873/292/1147/4717/6390/9446/4706/4700/4539/10975/4519/4695/498/5747/1345/1327/4540/126328/506/4708/4694/1543/52/1340/516/1337/4719/6647/6391/10105/7416/9167/4513/27089/4536/7386/522/5291/2938/5601/6392/50507/6655/5295/4707/5337/4698/514/1351/2052/5879/10000/4893/5781/2948"
"hsa04714","Thermogenesis",233,-0.51892479986584,-2.5482978856331,1e-10,2.13214040012672e-09,1.04566694264588e-09,8060,"tags=62%, list=26%, signal=46%","1355/86/25915/1385/1346/7388/4731/5593/4712/51548/51412/6196/517/6197/53632/6595/55818/4512/656/4701/1537/284184/7381/8193/10818/4541/7350/4711/6601/6198/6597/4726/84701/521/3265/10476/109/5562/4710/55967/4725/539/84335/10063/51241/71/10632/2475/518/4696/2180/5564/4508/4715/79133/4720/4718/4514/2885/126129/51780/7385/4509/64764/4716/2778/4881/4724/1349/196883/9377/29796/4537/1350/513/65260/509/4697/107/3845/4728/4722/7384/1329/4538/4535/515/4702/3991/1347/374291/388753/4723/11343/51287/4717/10488/6390/4706/4700/5567/29078/90993/4539/2182/10975/4519/6009/4695/498/1345/1327/4540/126328/506/788/4708/4694/6602/1340/516/2181/1337/4719/9586/84987/6391/9167/4513/5566/27089/51103/4536/7386/522/6392/6655/28958/4707/4698/493753/514/1351/4893"
"hsa05014","Amyotrophic lateral sclerosis",362,-0.493297556457649,-2.51759301414535,1e-10,2.13214040012672e-09,1.04566694264588e-09,7355,"tags=55%, list=24%, signal=42%","140775/4512/3084/4701/5685/84134/9973/1537/10280/112714/84516/55255/56171/201625/642659/9818/493869/7381/5692/5289/11047/10213/4541/5700/4711/468/8021/29982/5704/4726/60673/81631/84701/10476/7280/4710/637/55967/10671/4725/5687/539/203068/5691/147700/71/55102/847/5695/5530/5071/2475/6311/2876/518/4696/83544/9706/4508/4715/4720/4718/4514/7385/4509/5686/5532/4716/4724/1349/22926/400916/7277/9377/29796/100101267/4218/4537/1350/513/4747/2903/5216/56893/509/23130/4697/8632/11258/64837/1639/2904/116442/4728/4722/29110/5903/5713/7384/1329/10383/4538/7415/4535/515/4702/10762/29978/29979/1347/23064/374291/51164/84557/4723/5708/65018/4717/5701/79861/5714/6390/55746/9883/4706/10189/10452/10133/4700/310/4539/1965/10121/10975/4519/9776/4695/498/5702/10376/55706/1345/23636/1327/5718/4540/126328/5719/506/4708/4694/1340/5705/25978/516/1337/5534/5861/4719/5689/6647/10382/5707/6391/10540/5693/8678/7416/54205/5688/5868/9167/4513/2878/81929/27089/7846/4536/7386/522/5217/5710/5717/6392/9217/4707/4698/5706/55860/514/1351/9821/10126/5879/84790/598/5690/5694"
