"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021936","regulation of cerebellar granule cell precursor proliferation","2/10","11/17218",1.66515224359552e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021527","spinal cord association neuron differentiation","2/10","12/17218",1.99756364987807e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021702","cerebellar Purkinje cell differentiation","2/10","13/17218",2.36002566832284e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021694","cerebellar Purkinje cell layer formation","2/10","15/17218",3.17498945168946e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0010470","regulation of gastrulation","2/10","16/17218",3.62743521440316e-05,0.00141016543959923,0.000677757632164802,"OTX2/LHX1",2
"GO:0021534","cell proliferation in hindbrain","2/10","16/17218",3.62743521440316e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021924","cell proliferation in external granule layer","2/10","16/17218",3.62743521440316e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021930","cerebellar granule cell precursor proliferation","2/10","16/17218",3.62743521440316e-05,0.00141016543959923,0.000677757632164802,"LHX5/LHX1",2
"GO:0021516","dorsal spinal cord development","2/10","19/17218",5.16429233264132e-05,0.00158511404359921,0.00076184191636855,"LHX5/LHX1",2
"GO:0021692","cerebellar Purkinje cell layer morphogenesis","2/10","19/17218",5.16429233264132e-05,0.00158511404359921,0.00076184191636855,"LHX5/LHX1",2
"GO:0030900","forebrain development","4/10","404/17218",5.60651269440236e-05,0.00158511404359921,0.00076184191636855,"LHX5/EOMES/OTX2/LHX1",4
"GO:0040019","positive regulation of embryonic development","2/10","22/17218",6.96984260898423e-05,0.00180635087616175,0.000868173377610317,"OTX2/LHX1",2
"GO:0021533","cell differentiation in hindbrain","2/10","23/17218",7.631272098471e-05,0.00182563509432652,0.000877441812131888,"LHX5/LHX1",2
"GO:0021871","forebrain regionalization","2/10","24/17218",8.32244484589649e-05,0.00184877167648129,0.000888561780539325,"EOMES/LHX1",2
"GO:0001702","gastrulation with mouth forming second","2/10","25/17218",9.04333301238057e-05,0.00187498437790024,0.000901160201935467,"OTX2/LHX1",2
"GO:0021697","cerebellar cortex formation","2/10","26/17218",9.7939087760773e-05,0.00190369101835003,0.0009149572672388,"LHX5/LHX1",2
"GO:0021680","cerebellar Purkinje cell layer development","2/10","28/17218",0.000113840118928497,0.00198947580502946,0.000956187389792461,"LHX5/LHX1",2
"GO:0001764","neuron migration","3/10","174/17218",0.000115539600746655,0.00198947580502946,0.000956187389792461,"BARHL2/EOMES/LHX1",3
"GO:0021953","central nervous system neuron differentiation","3/10","177/17218",0.000121543537927845,0.00198947580502946,0.000956187389792461,"LHX5/EOMES/LHX1",3
"GO:0007369","gastrulation","3/10","189/17218",0.000147595171456561,0.00229510491614952,0.00110307970246482,"EOMES/OTX2/LHX1",3
"GO:0021696","cerebellar cortex morphogenesis","2/10","36/17218",0.000189263756173562,0.00280290610333227,0.00134714052013262,"LHX5/LHX1",2
"GO:0021587","cerebellum morphogenesis","2/10","44/17218",0.000283492364837197,0.00400755115747129,0.00192612037353502,"LHX5/LHX1",2
"GO:0021515","cell differentiation in spinal cord","2/10","46/17218",0.000309971243245976,0.00419135028910863,0.00201445842292579,"LHX5/LHX1",2
"GO:0021575","hindbrain morphogenesis","2/10","47/17218",0.000323647428670592,0.00419393126318976,0.00201569889786071,"LHX5/LHX1",2
"GO:0021695","cerebellar cortex development","2/10","51/17218",0.000381257409014531,0.00474284216814076,0.00227951798231846,"LHX5/LHX1",2
"GO:0009948","anterior/posterior axis specification","2/10","53/17218",0.000411801705985768,0.00492578194467591,0.00236744300607202,"OTX2/LHX1",2
"GO:0021537","telencephalon development","3/10","276/17218",0.000449790488194928,0.00518092006772676,0.0024900681997536,"LHX5/EOMES/LHX1",3
"GO:0001706","endoderm formation","2/10","58/17218",0.000493217875514046,0.00547824140303101,0.00263296760612761,"EOMES/LHX1",2
"GO:2000179","positive regulation of neural precursor cell proliferation","2/10","63/17218",0.000581828798626677,0.00623961228872057,0.00299889979691427,"LHX5/LHX1",2
"GO:0003407","neural retina development","2/10","80/17218",0.000936465528187567,0.00939486384730108,0.00451538556885007,"BARHL2/LHX1",2
"GO:0007492","endoderm development","2/10","80/17218",0.000936465528187567,0.00939486384730108,0.00451538556885007,"EOMES/LHX1",2
"GO:0009798","axis specification","2/10","92/17218",0.00123591497573597,0.0116475623470875,0.00559808378164299,"OTX2/LHX1",2
"GO:0045995","regulation of embryonic development","2/10","92/17218",0.00123591497573597,0.0116475623470875,0.00559808378164299,"OTX2/LHX1",2
"GO:0003002","regionalization","3/10","401/17218",0.00133196753146423,0.0121835853613346,0.00585570865225763,"EOMES/OTX2/LHX1",3
"GO:0021510","spinal cord development","2/10","97/17218",0.00137255342783123,0.012196117601586,0.005861731932392,"LHX5/LHX1",2
"GO:2000177","regulation of neural precursor cell proliferation","2/10","99/17218",0.00142915168051921,0.0123462825733743,0.00593390463841308,"LHX5/LHX1",2
"GO:0021549","cerebellum development","2/10","104/17218",0.00157548587790791,0.013242597514307,0.00636469401601487,"LHX5/LHX1",2
"GO:0044344","cellular response to fibroblast growth factor stimulus","2/10","110/17218",0.00176017314729403,0.0138825172636013,0.00667225402413736,"OTX2/LHX1",2
"GO:0007389","pattern specification process","3/10","444/17218",0.00178553276702267,0.0138825172636013,0.00667225402413736,"EOMES/OTX2/LHX1",3
"GO:0007409","axonogenesis","3/10","444/17218",0.00178553276702267,0.0138825172636013,0.00667225402413736,"BARHL2/OTX2/LHX1",3
"GO:0022037","metencephalon development","2/10","113/17218",0.00185621721248406,0.0140800866605498,0.00676721037670696,"LHX5/LHX1",2
"GO:0071774","response to fibroblast growth factor","2/10","117/17218",0.00198809744683172,0.0147213882372539,0.007075434522559,"OTX2/LHX1",2
"GO:0001704","formation of primary germ layer","2/10","124/17218",0.00222934968311109,0.0160087040331235,0.00769414781757842,"EOMES/LHX1",2
"GO:0007498","mesoderm development","2/10","125/17218",0.0022648970336252,0.0160087040331235,0.00769414781757842,"EOMES/LHX1",2
"GO:0030902","hindbrain development","2/10","156/17218",0.00349944492024798,0.0241850526710472,0.0116238872204728,"LHX5/LHX1",2
"GO:0060041","retina development in camera-type eye","2/10","159/17218",0.00363239546420364,0.0245581519427681,0.0118032072292201,"BARHL2/LHX1",2
"GO:0061351","neural precursor cell proliferation","2/10","165/17218",0.00390533943846152,0.0258417141566283,0.0124201164672236,"LHX5/LHX1",2
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","2/10","167/17218",0.00399840004735943,0.0259063003068496,0.0124511580422158,"FAT2/CDH15",2
"GO:0021543","pallium development","2/10","191/17218",0.00519537350483718,0.0326452591085513,0.0156900551477891,"LHX5/EOMES",2
"GO:0009952","anterior/posterior pattern specification","2/10","192/17218",0.00524843394028156,0.0326452591085513,0.0156900551477891,"OTX2/LHX1",2
"GO:0032525","somite rostral/caudal axis specification","1/10","10/17218",0.0057942303789047,0.0340001065630068,0.0163412256962158,"LHX1",1
"GO:0048703","embryonic viscerocranium morphogenesis","1/10","10/17218",0.0057942303789047,0.0340001065630068,0.0163412256962158,"LHX1",1
"GO:0060068","vagina development","1/10","10/17218",0.0057942303789047,0.0340001065630068,0.0163412256962158,"LHX1",1
"GO:0072178","nephric duct morphogenesis","1/10","11/17218",0.0063719882645511,0.0366979324125073,0.0176378622527535,"LHX1",1
"GO:0035881","amacrine cell differentiation","1/10","12/17218",0.00694944395801067,0.0379171415954617,0.0182238419582182,"BARHL2",1
"GO:0072182","regulation of nephron tubule epithelial cell differentiation","1/10","12/17218",0.00694944395801067,0.0379171415954617,0.0182238419582182,"LHX1",1
"GO:0097475","motor neuron migration","1/10","12/17218",0.00694944395801067,0.0379171415954617,0.0182238419582182,"LHX1",1
"GO:0007411","axon guidance","2/10","231/17218",0.00751246651355133,0.0383733090743291,0.0184430864395151,"OTX2/LHX1",2
"GO:0097485","neuron projection guidance","2/10","231/17218",0.00751246651355133,0.0383733090743291,0.0184430864395151,"OTX2/LHX1",2
"GO:0021978","telencephalon regionalization","1/10","13/17218",0.00752659759978802,0.0383733090743291,0.0184430864395151,"EOMES",1
"GO:0038180","nerve growth factor signaling pathway","1/10","13/17218",0.00752659759978802,0.0383733090743291,0.0184430864395151,"NTF3",1
"GO:0043374","CD8-positive, alpha-beta T cell differentiation","1/10","14/17218",0.00810344933033147,0.0384185163207886,0.0184648140719309,"EOMES",1
"GO:0050930","induction of positive chemotaxis","1/10","14/17218",0.00810344933033147,0.0384185163207886,0.0184648140719309,"NTF3",1
"GO:0072160","nephron tubule epithelial cell differentiation","1/10","14/17218",0.00810344933033147,0.0384185163207886,0.0184648140719309,"LHX1",1
"GO:0072283","metanephric renal vesicle morphogenesis","1/10","14/17218",0.00810344933033147,0.0384185163207886,0.0184648140719309,"LHX1",1
"GO:0060560","developmental growth involved in morphogenesis","2/10","241/17218",0.00815312565007088,0.0384185163207886,0.0184648140719309,"BARHL2/LHX1",2
"GO:0001711","endodermal cell fate commitment","1/10","15/17218",0.00867999929003238,0.0396982320470599,0.0190798746003808,"EOMES",1
"GO:0072176","nephric duct development","1/10","15/17218",0.00867999929003238,0.0396982320470599,0.0190798746003808,"LHX1",1
"GO:0010002","cardioblast differentiation","1/10","16/17218",0.00925624761922528,0.0405449719659023,0.0194868370931058,"EOMES",1
"GO:0072224","metanephric glomerulus development","1/10","16/17218",0.00925624761922528,0.0405449719659023,0.0194868370931058,"LHX1",1
"GO:2000696","regulation of epithelial cell differentiation involved in kidney development","1/10","16/17218",0.00925624761922528,0.0405449719659023,0.0194868370931058,"LHX1",1
"GO:0072077","renal vesicle morphogenesis","1/10","17/17218",0.00983219445818617,0.0420368600462233,0.0202038724879462,"LHX1",1
"GO:0045165","cell fate commitment","2/10","267/17218",0.00993085529243211,0.0420368600462233,0.0202038724879462,"BARHL2/EOMES",2
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","2/10","272/17218",0.0102910203773563,0.0420368600462233,0.0202038724879462,"FAT2/CDH15",2
"GO:0072087","renal vesicle development","1/10","18/17218",0.0104078399471357,0.0420368600462233,0.0202038724879462,"LHX1",1
"GO:0072189","ureter development","1/10","18/17218",0.0104078399471357,0.0420368600462233,0.0202038724879462,"LHX1",1
"GO:0090190","positive regulation of branching involved in ureteric bud morphogenesis","1/10","18/17218",0.0104078399471357,0.0420368600462233,0.0202038724879462,"LHX1",1
"GO:0001829","trophectodermal cell differentiation","1/10","19/17218",0.010983184226236,0.0432375986627772,0.0207809748184612,"EOMES",1
"GO:0030540","female genitalia development","1/10","19/17218",0.010983184226236,0.0432375986627772,0.0207809748184612,"LHX1",1
"GO:0060065","uterus development","1/10","20/17218",0.0115582274355931,0.0449326091558682,0.021595635471766,"LHX1",1
"GO:0007398","ectoderm development","1/10","21/17218",0.0121329697152567,0.0460165070907906,0.022116581509197,"LHX1",1
"GO:0090189","regulation of branching involved in ureteric bud morphogenesis","1/10","21/17218",0.0121329697152567,0.0460165070907906,0.022116581509197,"LHX1",1
"GO:0032148","activation of protein kinase B activity","1/10","23/17218",0.013281552045409,0.0497658154954483,0.0239185845332668,"NTF3",1
