]633;E;echo -e "Sample\\tFeatureCounts_Assigned_Percent";5d6690f5-2e6d-4f95-8f15-cf2cde68046e]633;CSample	FeatureCounts_Assigned_Percent
SRR14514161	36.82
SRR14514162	38.64
SRR14514163	51.20
SRR14514164	62.34
SRR14514165	38.54
SRR14514166	38.52
SRR14514167	35.93
SRR14514168	37.68
SRR14514169	28.23
SRR14514170	33.64
SRR14514171	36.45
SRR14514172	33.86
SRR14514173	48.44
SRR14514174	31.65
SRR14514175	34.22
SRR14514176	39.77
SRR14514177	34.68
SRR14514178	31.49
SRR14514179	32.97
SRR14514180	34.87
SRR14514181	32.09
SRR14514182	33.39
SRR14514183	32.15
SRR14514184	44.46
SRR14514185	32.25
SRR14514186	28.45
SRR14514187	31.13
SRR14514188	33.28
SRR14514189	38.80
SRR14514190	37.60
SRR14514191	35.73
SRR14514192	37.27
SRR14514193	39.78
SRR14514194	43.09
SRR14514195	33.18
SRR14514196	35.21
SRR14514197	28.89
SRR14514198	30.56
SRR14514199	29.49
SRR14514200	29.88
SRR14514201	37.73
SRR14514202	30.70
SRR14514203	30.68
SRR14514204	39.07
SRR14514205	40.58
SRR14514206	44.04
SRR14514207	42.30
SRR14514208	44.61
SRR14514209	38.73
SRR14514210	32.58
SRR14514211	35.74
SRR14514212	40.18
SRR14514213	40.46
SRR14514214	29.32
SRR14514215	37.39
SRR14514216	28.72
SRR14514217	49.05
SRR14514218	39.71
SRR14514219	32.34
SRR14514220	34.46
SRR14514221	35.89
SRR14514222	52.01
SRR14514223	37.82
SRR14514224	45.69
SRR14514225	32.22
SRR14514226	40.38
SRR14514227	36.50
SRR14514228	37.36
SRR14514229	37.52
SRR14514230	48.35
SRR14514231	32.75
SRR14514232	46.35
SRR14514233	38.39
SRR14514234	38.68
SRR14514235	59.17
SRR14514236	32.71
SRR14514237	38.01
SRR14514238	40.22
SRR14514239	36.27
SRR14514240	25.57
SRR14514241	34.26
SRR14514242	32.62
SRR14514243	35.48
SRR14514244	30.44
SRR14514245	41.42
SRR14514246	31.08
SRR14514247	42.74
SRR14514248	39.38
SRR14514249	43.19
SRR14514250	35.86
SRR14514251	48.58
SRR14514252	46.47
SRR14514253	34.95
SRR14514254	35.79
SRR14514255	45.43
SRR14514256	45.19
SRR14514257	32.50
SRR14514258	32.24
SRR14514259	36.62
SRR14514260	36.45
SRR14514261	55.69
SRR14514262	44.51
SRR14514263	39.91
SRR14514264	38.59
SRR14514265	35.54
SRR14514266	45.12
SRR14514267	48.36
SRR14514268	36.97
SRR14514269	47.24
SRR14514270	56.95
SRR14514271	49.66
SRR14514272	42.82
SRR14514273	47.39
SRR14514274	47.37
SRR14514275	38.91
SRR14514276	44.32
SRR14514277	37.24
SRR14514278	45.50
SRR14514279	44.83
SRR14514280	49.13
SRR14514281	49.67
SRR14514282	46.51
SRR14514283	44.01
SRR14514284	41.43
SRR14514285	59.87
SRR14514286	39.90
SRR14514287	45.70
SRR14514288	47.37
SRR14514289	49.13
SRR14514290	45.96
SRR14514291	31.63
SRR14514292	49.55
SRR14514293	46.66
SRR14514294	46.92
SRR14514295	53.94
SRR14514296	50.36
SRR14514297	58.20
SRR14514298	47.23
SRR14514299	44.48
SRR14514300	42.07
SRR14514301	42.21
SRR14514302	47.06
SRR14514303	53.62
SRR14514304	42.46
SRR14514305	51.64
SRR14514306	47.85
SRR14514307	59.13
SRR14514308	61.04
SRR14514309	37.13
SRR14514310	44.65
SRR14514311	47.27
SRR14514312	50.80
SRR14514313	62.10
SRR14514314	45.19
SRR14514315	46.84
SRR14514316	42.22
SRR14514317	53.28
SRR14514318	40.26
SRR14514319	42.56
SRR14514320	59.12
SRR14514321	42.30
SRR14514322	49.42
SRR14514323	55.19
SRR14514324	42.95
SRR14514325	50.48
SRR14514326	43.06
SRR14514327	50.39
SRR14514328	44.29
SRR14514329	48.25
SRR14514330	61.50
SRR14514331	43.09
SRR14514332	49.36
SRR14514333	59.01
SRR14514334	40.51
SRR14514335	53.78
SRR14514336	49.87
SRR14514337	59.05
SRR14514338	32.44
SRR14514339	37.00
SRR14514340	67.88
SRR14514341	28.33
SRR14514342	42.62
SRR14514343	46.16
SRR14514344	39.53
SRR14514345	44.59
SRR14514346	63.78
SRR14514347	59.93
SRR14514348	31.19
SRR14514349	47.35
SRR14514350	55.01
SRR14514351	70.09
